n,m,l,sparsity,final_loss,compression_ratio,linearity_score,mse_full,mse_linear,nonlinear_gain,avg_learned_interference,avg_linear_interference,interference_reduction,effective_features,effective_features_ratio,avg_feature_recovery,avg_pairwise_nonlinearity,max_pairwise_nonlinearity,std_pairwise_nonlinearity
16,4,1,0.1,0.01050820916891098,4.0,0.9635118283331394,0.010175599716603756,0.01319204457104206,0.22865618378047925,0.3828878700733185,0.41483840346336365,0.07701922568669468,0,0.0,0.9965075254440308,0.16467112610116602,0.45766910910606384,0.10138449430764682
16,4,2,0.1,0.010350092016160488,4.0,0.9534449800848961,0.010095774196088314,0.012516609393060207,0.19340966765467968,0.43099913001060486,0.4132218062877655,-0.04302126127449989,0,0.0,0.9930979982018471,0.2967981269955635,1.9298834800720215,0.3368358118543132
16,4,3,0.1,0.011632477343082427,4.0,0.9554449170827866,0.010996293276548386,0.013979589566588402,0.2134035582228099,0.5406064391136169,0.5188335180282593,-0.04196513893021146,0,0.0,0.99316680803895,0.10163495495915413,0.4216535985469818,0.07362973761573394
16,8,1,0.1,0.002300810650922358,2.0,0.9992312880931422,0.002403789898380637,0.0024231448769569397,0.007987511966469518,0.2526399791240692,0.2518470883369446,-0.0031483022530751194,1,0.0625,0.999572616070509,0.005273499143094824,0.07919778674840927,0.011511786371429987
16,8,2,0.1,0.005792391886934638,2.0,0.994925438426435,0.005467686802148819,0.005821996834129095,0.06085702783845612,0.30097833275794983,0.28681907057762146,-0.049366528028097725,2,0.125,0.9991509988903999,0.040199151705982386,0.15160350501537323,0.03690642351707829
16,8,3,0.1,0.013432727213948965,2.0,0.8805231750011444,0.013965883292257786,0.019084971398115158,0.2682259939935249,0.5227198004722595,0.5299606919288635,0.013663072432068645,0,0.0,0.9902190715074539,0.14607607878744602,0.583119809627533,0.1465772158747759
32,4,1,0.1,0.019552412386983634,8.0,0.9113115072250366,0.019776975736021996,0.023803479969501495,0.16915604554788,0.398730993270874,0.4194670021533966,0.04943418262158729,0,0.0,0.9891928620636463,0.07884297073159147,0.5585544109344482,0.1036655377955835
32,4,2,0.1,0.018741913437843323,8.0,0.87722397595644,0.018158720806241035,0.02121421881020069,0.14403059528095802,0.42998892068862915,0.4442688822746277,0.03214260965445063,0,0.0,0.9909785725176334,0.21229638032615183,2.252917766571045,0.32171359698822694
32,4,3,0.1,0.018294261312112214,8.0,0.9144972041249275,0.017623303458094597,0.020595300942659378,0.14430456975567374,0.4125579595565796,0.513987123966217,0.19733794429240345,0,0.0,0.9884058516472578,0.2265487040951848,1.2799475193023682,0.24950909444719438
32,8,1,0.1,0.011925028217956424,4.0,0.9503492191433907,0.011944105848670006,0.015300369821488857,0.2193582128010374,0.2803875207901001,0.258787602186203,-0.08346581361226638,0,0.0,0.9971426408737898,0.10807087092194706,1.0126638412475586,0.15619139425075126
32,8,2,0.1,0.012601633258163929,4.0,0.968317311257124,0.013028745539486408,0.01468144915997982,0.11257080120472737,0.3250546157360077,0.2940208613872528,-0.10554949450469639,0,0.0,0.998111056163907,0.03183824175037444,0.14342446625232697,0.028739616237631632
32,8,3,0.1,0.015189818860962987,4.0,0.9782781284302473,0.015922220423817635,0.016795972362160683,0.0520214846326289,0.3355739712715149,0.3306035101413727,-0.015034507581821099,0,0.0,0.9974209107458591,0.0322809424623847,0.12611673772335052,0.02588538998640256
32,16,1,0.1,0.005132235870696604,2.0,0.9999013476044638,0.004942961037158966,0.004940352402627468,-0.0005280249339826946,0.142985001206398,0.14302650094032288,0.0002901541375233665,2,0.0625,0.9999958742409945,0.0004120641418114701,0.009276621043682098,0.0015013196888859503
32,16,2,0.1,0.008250653762370348,2.0,0.9993612516555004,0.008033010177314281,0.008057668805122375,0.003060264426576324,0.3559585213661194,0.34654101729393005,-0.027175726192447534,4,0.125,0.9999301098287106,0.0013481754227390752,0.014150295406579971,0.00302517080330705
32,16,3,0.1,0.010485327364876866,2.0,0.9760270044207573,0.010273294523358345,0.011398844420909882,0.09874236971452546,0.38334399461746216,0.2955266535282135,-0.29715539045046224,3,0.09375,0.9974241387099028,0.02648978285724297,0.16818885505199432,0.03278343809798036
64,4,1,0.1,0.02463089294731617,16.0,0.8892328664660454,0.025649016723036766,0.02752709947526455,0.06822666048229294,0.4109550416469574,0.4250127375125885,0.033075939363947496,0,0.0,0.9931018147617579,0.06438450598157942,0.6570841073989868,0.09962393545539261
64,4,2,0.1,0.0235467866435647,16.0,0.8790896460413933,0.022998273372650146,0.025906981900334358,0.11227503906567676,0.4246805012226105,0.45230114459991455,0.061066930951648946,0,0.0,0.9888594914227724,0.13059269648045302,0.7331706285476685,0.13900675582308053
64,4,3,0.1,0.023472309615463018,16.0,0.8627219200134277,0.02309451438486576,0.025915682315826416,0.10885944687797516,0.4360582232475281,0.4795834720134735,0.09075635504210845,0,0.0,0.9882751619443297,0.12951818998903036,0.9464676380157471,0.1475719699838599
64,8,1,0.1,0.01997950380668044,8.0,0.9444325678050518,0.020236358046531677,0.02266489900648594,0.10714982174688169,0.28063851594924927,0.2849346399307251,0.015077576498752706,0,0.0,0.9947395604103804,0.042967877141200005,0.2022780478000641,0.04158945112960903
64,8,2,0.1,0.01951560750603676,8.0,0.8933457732200623,0.019661225378513336,0.022819511592388153,0.13840282326200554,0.30365481972694397,0.2997971177101135,-0.012867708394326643,0,0.0,0.9949060492217541,0.07917518688365817,0.30482780933380127,0.07135672535846374
64,8,3,0.1,0.019300128165632487,8.0,0.9012091532349586,0.01955874264240265,0.022193526849150658,0.11871853615116065,0.2981182038784027,0.345630407333374,0.13746534179931258,0,0.0,0.9922202220186591,0.060484148114919666,0.18408332765102386,0.042748201645656576
64,16,1,0.1,0.01302367314696312,4.0,0.9777005445212126,0.013078520074486732,0.015581222251057625,0.1606228657814284,0.19031360745429993,0.18170389533042908,-0.04738319800124308,0,0.0,0.9980422630906105,0.023145126132385202,0.10885065048933029,0.02111589662385769
64,16,2,0.1,0.013598113749176265,4.0,0.9754169378429651,0.013865092769265175,0.015018484555184841,0.07679809595306478,0.2641058564186096,0.22756391763687134,-0.1605787839980027,0,0.0,0.9984895987436175,0.02542065966059454,0.2627078890800476,0.04321177731742402
64,16,3,0.1,0.015145255494862795,4.0,0.9849360771477222,0.014560254290699959,0.015104942955076694,0.03606026884007399,0.3219815492630005,0.29459598660469055,-0.09295972441559616,1,0.015625,0.9982688212767243,0.01369111995329149,0.07221463322639465,0.011368846486849679
64,32,1,0.1,0.009596011294052005,2.0,0.9999420540589199,0.00987241417169571,0.009870670735836029,-0.00017662772268082176,0.1311669647693634,0.13095952570438385,-0.0015839935890411777,18,0.28125,0.9999700477346778,0.00030765382853587653,0.003257157513871789,0.0008258609292894993
64,32,2,0.1,0.009272544952109456,2.0,0.9998628762259614,0.009659044444561005,0.00965601671487093,-0.00031355854529814146,0.2892579436302185,0.283893883228302,-0.01889459593835937,15,0.234375,0.9999504508450627,0.001994823981418108,0.01794520765542984,0.003733711944715481
64,32,3,0.1,0.01362441453151405,2.0,0.9855980100110173,0.013098545372486115,0.013862691819667816,0.05512247591573837,0.3277951180934906,0.26946842670440674,-0.2164509213116685,2,0.03125,0.9986410653218627,0.017566960760159418,0.10158302634954453,0.017896692056907686
128,4,1,0.1,0.027742186468094586,32.0,0.8978996425867081,0.02812129631638527,0.02879074402153492,0.023252176884596937,0.4423123002052307,0.46097174286842346,0.040478494717047814,0,0.0,0.9961242331191897,0.047299238895066084,1.1948145627975464,0.16492153422107417
128,4,2,0.1,0.026969244107604026,32.0,0.8795459941029549,0.026968693360686302,0.028271103277802467,0.04606857552152974,0.46431756019592285,0.5417988896369934,0.1430075430071623,0,0.0,0.9578812732361257,0.061620125118643045,0.3737087547779083,0.059474156396508396
128,4,3,0.1,0.026678870934993028,32.0,0.8330168575048447,0.026521263644099236,0.028287898749113083,0.062451951492145455,0.45754069089889526,0.4366283118724823,-0.04789515012844367,0,0.0,0.9697893369011581,0.09513008046895266,0.6947180032730103,0.1110809389408427
128,8,1,0.1,0.025170384291559458,16.0,0.9092125743627548,0.02512730285525322,0.026440724730491638,0.04967418222776432,0.2876169979572296,0.303924560546875,0.05365661144244418,0,0.0,0.997065506875515,0.02014973548706621,0.09594114124774933,0.01669495063244371
128,8,2,0.1,0.024477894343435766,16.0,0.8845115825533867,0.02395109087228775,0.02601289004087448,0.0792606424253733,0.29729360342025757,0.3316597044467926,0.10361855700158697,0,0.0,0.9941416406072676,0.06470900569111109,0.25412607192993164,0.04852789469040601
128,8,3,0.1,0.024535733610391616,16.0,0.8832910507917404,0.024469805881381035,0.026383904740214348,0.07254794740205268,0.32692256569862366,0.3368139863014221,0.029367605596610707,0,0.0,0.9956872225739062,0.10167070385068655,0.6416913866996765,0.0950475609996251
128,16,1,0.1,0.020335727855563163,8.0,0.9484268426895142,0.020468905568122864,0.02261774055659771,0.09500657384551534,0.1987864077091217,0.1993313878774643,0.002734040769019279,0,0.0,0.9963612933643162,0.03439470088109374,0.15196074545383453,0.02904037184143904
128,16,2,0.1,0.02013057816773653,8.0,0.9323160126805305,0.02052539773285389,0.02285902202129364,0.10208762498192983,0.20884425938129425,0.1998795121908188,-0.044850753555019496,0,0.0,0.9966506464406848,0.06024047100916505,0.6345885396003723,0.08736541949760657
128,16,3,0.1,0.021049852576106788,8.0,0.9470422826707363,0.021196728572249413,0.022514130920171738,0.058514439995442466,0.23948122560977936,0.23137788474559784,-0.03502210473948351,0,0.0,0.9976235027424991,0.02890144753269851,0.18601083755493164,0.02968966141590874
128,32,1,0.1,0.015716597214341165,4.0,0.9966505849733949,0.01544498372823,0.015622463077306747,0.011360515598170877,0.12311305850744247,0.11924366652965546,-0.03244945216717395,6,0.046875,0.9995080349035561,0.011650853433000635,0.03737075999379158,0.009853959831889891
128,32,2,0.1,0.017071496304124592,4.0,0.9972506482154131,0.01719784177839756,0.01728520169854164,0.0050540266250515,0.18250644207000732,0.18145887553691864,-0.00577302417563648,0,0.0,0.9993989602662623,0.007004765554326582,0.04767698422074318,0.008960149913653294
128,32,3,0.1,0.017556670103222132,4.0,0.9911462161689997,0.017246853560209274,0.017562340945005417,0.017963846969238733,0.21488989889621735,0.21079277992248535,-0.019436713064230636,2,0.015625,0.9985451744869351,0.010880762151209637,0.026370586827397346,0.006484849827137518
