n,m,l,compression_ratio,cooccurrence_strength,linearity_score,mse_full,mse_linear,nonlinear_gain,final_loss
32,4,2,8.0,0.0,0.937450610101223,0.016949882730841637,0.01964818872511387,0.1373309600550467,0.01824839198961854
32,4,2,8.0,0.3,0.978247532621026,0.046130549162626266,0.04810183867812157,0.04098157492212795,0.046428341194987295
32,4,2,8.0,0.6,0.9803585074841976,0.04469364136457443,0.04690294712781906,0.04710376271636499,0.044797684997320175
32,4,2,8.0,0.9,0.9799439497292042,0.04118770733475685,0.04459060728549957,0.07631425976803669,0.0399510396271944
32,8,2,4.0,0.0,0.95195047929883,0.0104148481041193,0.012862958945333958,0.19032237826421164,0.01135410601273179
32,8,2,4.0,0.3,0.9985682253027335,0.03750785067677498,0.03764646127820015,0.0036819015625891025,0.037911885790526866
32,8,2,4.0,0.6,0.9997505150386132,0.03617638349533081,0.0362016037106514,0.0006966599754962512,0.035583524592220785
32,8,2,4.0,0.9,0.9991025043418631,0.03342732414603233,0.03351166471838951,0.002516751939911135,0.03409016717225313
32,16,2,2.0,0.0,0.9987759820651263,0.009775638580322266,0.009874096140265465,0.009971288392546298,0.009608203517273069
32,16,2,2.0,0.3,0.9999654219827789,0.023398911580443382,0.02339029125869274,-0.00036854257049969476,0.023965432196855544
32,16,2,2.0,0.6,0.9999388865180663,0.022687247022986412,0.02267942763864994,-0.00034477858142063826,0.022755341324955224
32,16,2,2.0,0.9,0.9999797432992636,0.025541938841342926,0.025537479668855667,-0.0001746127965231097,0.02504031317308545
32,24,2,1.3333333333333333,0.0,0.9992312217364088,0.008169792592525482,0.00819498673081398,0.003074331707023815,0.008558364706113935
32,24,2,1.3333333333333333,0.3,0.9999445333924086,0.020421840250492096,0.020412486046552658,-0.00045825870183169683,0.020737624987959863
32,24,2,1.3333333333333333,0.6,0.9999591740015603,0.01910744421184063,0.019100315868854523,-0.00037320530733617115,0.019101375117897987
32,24,2,1.3333333333333333,0.9,0.9944121027365327,0.021887972950935364,0.02242426760494709,0.02391580515812972,0.021692589167505504
