depth,n_true_features,effective_dim_ratio,linearity_score,mse_full,mse_linear,nonlinear_gain,avg_feature_similarity,separation_score,within_feature_variance
1,64,1.0,0.9500757120549679,0.01950877718627453,0.021092357113957405,0.07507834085795793,0.4273947477340698,0.5726052522659302,0.012451961636543274
2,64,1.0,0.9033793434500694,0.019221963360905647,0.022746402770280838,0.15494484536832207,0.8174040913581848,0.18259590864181519,0.00985387247055769
3,64,1.0,0.8983432278037071,0.02023177221417427,0.022865448147058487,0.1151814197618876,0.9100808501243591,0.08991914987564087,0.013881118968129158
4,64,1.0,0.9114628434181213,0.02228076197206974,0.02431495115160942,0.0836599806537234,0.8670371174812317,0.1329628825187683,0.02722153067588806
5,64,1.0,0.8678552806377411,0.023028235882520676,0.025650903582572937,0.10224461174100577,0.929879367351532,0.07012063264846802,0.01209215633571148
6,64,1.0,0.8700699061155319,0.026384372264146805,0.030079612508416176,0.12284862428826875,0.9070149660110474,0.09298503398895264,0.05003608763217926
1,32,0.5,0.972997959703207,0.009206213057041168,0.009283590130507946,0.008334813259836534,0.8824952840805054,0.11750471591949463,0.0008211382664740086
2,32,0.5,0.9723828807473183,0.00907320249825716,0.0091751329600811,0.01110941401866062,0.8166269659996033,0.18337303400039673,0.0015975595451891422
3,32,0.5,0.9671977162361145,0.010114568285644054,0.010219430550932884,0.0102610573217002,0.6137295365333557,0.3862704634666443,0.0034787883050739765
4,32,0.5,0.9450371190905571,0.009226914495229721,0.00936235673725605,0.014466667011382727,0.639611542224884,0.36038845777511597,0.005211102310568094
5,32,0.5,0.9079194217920303,0.010676906444132328,0.010825475677847862,0.013724024781590233,0.9219947457313538,0.07800525426864624,0.005449916701763868
6,32,0.5,0.9420037046074867,0.011005613952875137,0.011029384098947048,0.0021551633624353073,0.9999709129333496,2.9087066650390625e-05,0.002624572953209281
1,16,0.25,0.986595151014626,0.009336982853710651,0.009382415562868118,0.004842320235107577,0.8767027854919434,0.12329721450805664,0.0011396250920370221
2,16,0.25,0.9893628228455782,0.009252838790416718,0.009290945716202259,0.00410150763274954,0.7679817080497742,0.23201829195022583,0.0015598016325384378
3,16,0.25,0.9855318861082196,0.009643313474953175,0.009711891412734985,0.0070612267224918635,0.7637651562690735,0.2362348437309265,0.0027672676369547844
4,16,0.25,0.9735937397927046,0.011226595379412174,0.011282214894890785,0.004929835736903151,0.790985643863678,0.20901435613632202,0.0035611882340162992
5,16,0.25,0.977740366011858,0.011870887130498886,0.011891969479620457,0.0017728208459911882,0.999830424785614,0.00016957521438598633,0.0036975571420043707
6,16,0.25,0.9931235299445689,0.01192342396825552,0.011929024942219257,0.00046952448298349036,0.9985732436180115,0.0014267563819885254,0.002276133745908737
1,8,0.125,0.998570075025782,0.009494115598499775,0.009502028115093708,0.0008327178335944902,0.8855060338973999,0.1144939661026001,0.0010570503072813153
2,8,0.125,0.9974956894293427,0.007464831694960594,0.007474117446690798,0.0012423860572935421,0.8362709879875183,0.1637290120124817,0.0015002640429884195
3,8,0.125,0.9985436233691871,0.010284705087542534,0.010288884863257408,0.0004062414642607178,0.6833253502845764,0.3166746497154236,0.0021480724681168795
4,8,0.125,0.996128708589822,0.01115112379193306,0.011156938970088959,0.0005212158065335922,0.8813336491584778,0.11866635084152222,0.002462319564074278
5,8,0.125,0.9911738354712725,0.009654066525399685,0.009668417274951935,0.0014842899619701851,0.9566941857337952,0.043305814266204834,0.002689306391403079
6,8,0.125,0.9918483905494213,0.011452698148787022,0.011471056379377842,0.001600394417019842,0.9995996952056885,0.00040030479431152344,0.004939014092087746
