n_true,effective_dim_ratio,shallow_depth,deep_depth,shallow_nonlinear_gain,deep_nonlinear_gain,depth_benefit_gain,depth_benefit_mse,shallow_mse,deep_mse
8,0.125,1,4,0.000539648601924042,0.0002561552149413403,-0.00028349338698270164,-0.29816557437366537,0.008481142111122608,0.011009929701685905
8,0.125,2,5,0.0006247353341618456,0.0008810954896113682,0.0002563601554495226,-0.2713048420404397,0.008727332577109337,0.01109510287642479
8,0.125,3,6,0.00038739858718600436,0.0006486575445183212,0.0002612589573323169,0.050814195826768875,0.010338173247873783,0.009812846779823303
16,0.25,1,4,0.0016595739099948706,0.004862324877578934,0.003202750967584064,-0.09394910213540145,0.009908018633723259,0.010838869027793407
16,0.25,2,5,0.0063918579805611634,0.0005191616152772389,-0.005872696365283925,-0.2084919761511976,0.009194101206958294,0.011110999621450901
16,0.25,3,6,0.002294941523730857,0.003293317347584483,0.000998375823853626,-0.2374046243204821,0.00844506174325943,0.010449960827827454
24,0.375,1,4,0.004885231576679271,0.008302660565956549,0.0034174289892772783,-0.003487077785006085,0.009727513417601585,0.00976143404841423
24,0.375,2,5,0.011858556985690421,0.0015029789407048982,-0.010355578044985523,-0.2379100089010074,0.009025558829307556,0.011172831989824772
24,0.375,3,6,0.005500548684389824,0.00058289676417007,-0.004917651920219755,-0.32917494814623655,0.008688224479556084,0.011548173613846302
32,0.5,1,4,0.011564344338825883,0.00828609440792924,-0.003278249930896643,-0.03638664543005074,0.009786817245185375,0.010142927058041096
32,0.5,2,5,0.018990853256760292,0.0030020461424430348,-0.015988807114317258,-0.1964621827099481,0.009909728541970253,0.011856617406010628
32,0.5,3,6,0.01065044006202371,0.00163624475664249,-0.00901419530538122,-0.2909013215592436,0.008697853423655033,0.011228073388338089
48,0.75,1,4,0.017882419592685155,0.011621305492881241,-0.006261114099803913,0.07261327669870392,0.010274447500705719,0.0095283854752779
48,0.75,2,5,0.02237426379583409,0.013442062382960024,-0.008932201412874067,-0.11289836935011516,0.009530222043395042,0.010606169700622559
48,0.75,3,6,0.021080779506372264,0.0126731520083544,-0.008407627498017864,-0.007802449420841301,0.00963102001696825,0.00970616564154625
64,1.0,1,4,0.12861147826893543,0.0852337687841818,-0.04337770948475363,-0.08143850654196251,0.019657637923955917,0.021258527413010597
64,1.0,2,5,0.16373406955972009,0.09724151013671395,-0.06649255942300614,-0.33644657328903366,0.018598008900880814,0.024855248630046844
64,1.0,3,6,0.10197575524686037,0.11338631664202363,0.011410561395163263,-0.28099612573512067,0.019770663231611252,0.025326145812869072
