n,m,l,seed,compression_ratio,linearity_score,mse_full,mse_linear,nonlinear_gain,effective_rank,rank_ratio,top_1_var_fraction,top_3_var_fraction
64,4,1,0,16.0,0.9895918685942888,0.026826027780771255,0.02695298008620739,0.004710138097112254,3.870105743408203,0.9675264358520508,0.4079366624355316,0.8938362002372742
64,4,1,1,16.0,0.9906310476362705,0.026861857622861862,0.02696871943771839,0.0039624341629929585,3.953279733657837,0.9883199334144592,0.3643922805786133,0.8276281356811523
64,4,3,0,16.0,0.9673244468867779,0.02592320553958416,0.026187824085354805,0.010104636561701356,3.91743803024292,0.97935950756073,0.3991430401802063,0.8556859493255615
64,4,3,1,16.0,0.977050157263875,0.026237372308969498,0.026453910395503044,0.008185481898189887,3.9165830612182617,0.9791457653045654,0.4410364329814911,0.8439338803291321
64,8,1,0,8.0,0.9926650058478117,0.024334296584129333,0.024433506652712822,0.0040604089044412395,7.81567907333374,0.9769598841667175,0.2223186194896698,0.5459251403808594
64,8,1,1,8.0,0.9941135081462562,0.02361115626990795,0.02367745153605938,0.002799931320782189,7.907611846923828,0.9884514808654785,0.18878087401390076,0.5061156749725342
64,8,3,0,8.0,0.9904335467144847,0.024357330054044724,0.024440106004476547,0.0033868886062841173,7.144861221313477,0.8931076526641846,0.24523308873176575,0.613292396068573
64,8,3,1,8.0,0.9922893587499857,0.02548491209745407,0.02554813027381897,0.0024744727282432735,7.096030235290527,0.8870037794113159,0.3217044174671173,0.6588922142982483
64,16,1,0,4.0,0.9977340109180659,0.01841483823955059,0.018429148942232132,0.000776525001840813,15.507169723510742,0.9691981077194214,0.12312310934066772,0.31672313809394836
64,16,1,1,4.0,0.9978212954010814,0.01950649730861187,0.019521543756127357,0.000770760755186556,15.32030963897705,0.9575193524360657,0.13025565445423126,0.334616094827652
64,16,3,0,4.0,0.9929984579794109,0.022999703884124756,0.023035254329442978,0.0015433052909569847,10.537609100341797,0.6586005687713623,0.3399088382720947,0.5847379565238953
64,16,3,1,4.0,0.994927188847214,0.023248340934515,0.023293592035770416,0.0019426407811865163,10.299421310424805,0.6437138319015503,0.439767450094223,0.6516363620758057
64,32,1,0,2.0,0.9988927142694592,0.012991353869438171,0.012974807992577553,-0.0012752299777988344,29.324132919311523,0.9163791537284851,0.19163884222507477,0.3345789909362793
64,32,1,1,2.0,0.9990456603700295,0.013337207958102226,0.013323391787707806,-0.0010369851945144705,29.54465675354004,0.9232705235481262,0.1795712113380432,0.3204765319824219
64,32,3,0,2.0,0.994805003516376,0.02222377434372902,0.022248145192861557,0.0010954098855062537,12.473957061767578,0.3898111581802368,0.3569597005844116,0.5637739896774292
64,32,3,1,2.0,0.994681007694453,0.022890305146574974,0.02291731722652912,0.0011786749688191443,11.874135971069336,0.37106674909591675,0.3818712532520294,0.5919771790504456
